KEY , ALPHA1 , ALPHA2 , GAPS , MATCHES , ALL , OVERLAP_TYPE ,R1L,R1S,R1E,R2L,R2S,R2E
origSeq_72-seq5_8,0.159706895,0.159187279,0.015461836,0.084469027,0.049201665,Bad Overlap,11317,7,1816,1844,17,1819
seq3_66-seq9_74,0.163833076,0.164648517,0.015415874,0.076603052,0.039911112,Bad Overlap,11722,99,2113,2702,670,2696
seq4_88-seq9_35,0.164718748,0.165972838,0.015162545,0.072578288,0.0360672,Bad Overlap,12478,8,2418,4646,2161,4593
seq5_90-seq6_46,0.166390214,0.165784832,0.014951228,0.077111752,0.040409997,Bad Overlap,21456,1,4816,12314,7483,12277
origSeq_36-seq7_82,0.166441897,0.16559793,0.015598383,0.084868821,0.047620993,Bad Overlap,2973,4,2966,17790,14827,17771
seq6_45-seq9_85,0.167797788,0.166862829,0.01559186,0.069985613,0.033255842,Bad Overlap,7338,43,3183,14745,11418,14537
seq3_83-seq8_47,0.169756663,0.169756663,0.015006751,0.080589703,0.04242035,Bad Overlap,3029,2,2053,11113,9055,11106
seq1_92-seq9_23,0.169959326,0.172922899,0.01510167,0.080648713,0.041999445,Bad Overlap,13058,2734,4489,1887,2,1794
seq3_54-seq5_1,0.171691464,0.172663277,0.014861889,0.083546435,0.044604091,Bad Overlap,11360,1161,2915,1812,17,1783
seq1_74-seq9_32,0.172811426,0.173598267,0.015759504,0.083753789,0.04521166,Bad Overlap,17426,9,3276,4900,1488,4773
origSeq_66-seq4_40,0.173201636,0.174190334,0.016264088,0.091631148,0.053492612,Bad Overlap,8167,17,1753,3629,1873,3621
seq10_91-seq1_22,0.175513093,0.174227389,0.014624289,0.079630922,0.040819572,Bad Overlap,24113,17053,18293,1493,5,1234
seq4_66-seq6_25,0.177546838,0.177185532,0.01591882,0.088461315,0.048533882,Bad Overlap,7461,637,1850,1224,8,1218
seq2_98-seq7_11,0.178016823,0.179874112,0.017072975,0.088062641,0.048055234,Bad Overlap,42170,29813,32014,2265,7,2236
seq6_90-seq7_87,0.178325416,0.179007951,0.014903846,0.081355045,0.041968489,Bad Overlap,22994,11,6017,16751,10697,16731
seq6_34-seq8_28,0.1783541,0.178235038,0.016007918,0.077678882,0.03879158,Bad Overlap,8421,2,2464,7853,5385,7845
seq1_24-seq9_49,0.178781689,0.18006238,0.014837531,0.085176708,0.044500441,Bad Overlap,3526,16,1504,6324,4813,6314
seq3_77-seq9_42,0.178809149,0.180643603,0.017195433,0.081948172,0.04233065,Bad Overlap,12451,2,2957,7077,4077,7069
seq4_54-seq9_69,0.180046805,0.178291017,0.015026646,0.079603263,0.039715374,Bad Overlap,11948,8,3547,11219,7716,11213
seq4_80-seq8_61,0.180264817,0.181863948,0.016193856,0.084360663,0.044024995,Bad Overlap,6264,8,2867,12513,9604,12494
seq1_95-seq6_21,0.18118493,0.182165033,0.016551279,0.094502159,0.053727238,Bad Overlap,17691,4343,6762,2444,3,2438
seq2_83-seq6_83,0.182856893,0.181423497,0.016315454,0.09345083,0.052647939,Bad Overlap,16287,23,4200,10756,6579,10716
origSeq_50-seq5_2,0.182936614,0.181623359,0.016361557,0.093531791,0.052601337,Bad Overlap,1730,0,684,2704,2009,2687
seq2_50-seq8_52,0.183912358,0.18440195,0.018044064,0.090412979,0.049040994,Bad Overlap,5192,2,2453,10601,8137,10596
origSeq_25-origSeq_55,0.184324099,0.183073062,0.016773371,0.116354372,0.077829714,Good Overlap,1330,0,1324,8558,5853,7166
seq10_56-seq2_93,0.185999382,0.187868403,0.016914484,0.082679831,0.041603657,Bad Overlap,5477,47,5462,30071,23683,29165
seq1_6-seq6_72,0.186194071,0.185302815,0.017192608,0.095420797,0.054227426,Bad Overlap,2689,69,1771,8224,6521,8213
origSeq_18-seq10_78,0.186588129,0.183703165,0.015301125,0.086970612,0.04491436,Bad Overlap,4346,7,2066,8730,6696,8716
seq2_62-seq7_29,0.187260969,0.186299081,0.015853213,0.085144013,0.044066753,Bad Overlap,14392,40,2733,2714,29,2705
seq5_62-seq9_56,0.18859593,0.187139377,0.016016668,0.078907261,0.038621949,Bad Overlap,6216,4,2951,12343,9414,12333
seq2_52-seq3_85,0.189472314,0.190367867,0.016600094,0.100741547,0.058423449,Bad Overlap,2934,14,2926,20418,12449,15378
seq10_94-seq9_94,0.190171386,0.190115039,0.016342928,0.076120525,0,Bad Overlap,28601,342,8542,23196,14860,23057
seq1_53-seq3_46,0.190883191,0.187797903,0.015540604,0.108006766,0.066139094,Bad Overlap,4597,405,1209,813,20,808
seq2_95-seq5_82,0.191587439,0.191121361,0.017127688,0.097914381,0.055146287,Bad Overlap,30676,1,6651,10681,4035,10665
seq4_92-seq7_25,0.191594223,0.190985066,0.015833803,0.087643255,0.04502977,Bad Overlap,23043,8440,11239,2818,6,2794
seq5_90-seq9_75,0.193642278,0.19502051,0.016538998,0.084042626,0.041401367,Bad Overlap,21456,3934,7327,3456,0,3423
origSeq_94-seq3_71,0.194756048,0.192755849,0.015971156,0.112065045,0.069444285,Bad Overlap,14804,23,4346,11690,7416,11684
seq2_85-seq3_46,0.195139385,0.191672649,0.01635881,0.112814025,0.069995466,Bad Overlap,13618,9423,10242,813,2,803
seq2_40-seq2_56,0.197374378,0.199909747,0.015974334,0.11186585,0.068734324,Good Overlap,443,0,436,12019,1766,2209
seq2_12-seq9_89,0.197434105,0.197233734,0.017340063,0.089138011,0.045434179,Bad Overlap,3963,1,3956,20279,16070,20020
seq6_5-seq9_78,0.197495504,0.198189804,0.01750575,0.085306628,0.041981004,Bad Overlap,3141,95,3060,17711,11967,14945
origSeq_71-seq6_89,0.197841156,0.199239383,0.02057526,0.092742962,0.049327641,Bad Overlap,11701,4,3743,10995,7202,10974
origSeq_26-seq1_89,0.198400194,0.197865502,0.01717528,0.115819194,0.07264032,Bad Overlap,3813,5,3279,15964,12694,15957
origSeq_53-seq5_98,0.199737762,0.202109116,0.016923299,0.10696931,0.061659188,Bad Overlap,2313,20,2305,26069,9147,11466
seq3_32-seq8_57,0.200839403,0.200740741,0.017187484,0.094932825,0.050102462,Bad Overlap,1677,33,1660,11118,6457,8083
seq6_86-seq7_57,0.201504149,0.201020673,0.018280299,0.085647852,0.041846456,Bad Overlap,10016,52,2383,3936,1604,3928
seq3_68-seq6_24,0.202487487,0.201518603,0.015633137,0.095497087,0.051024854,Bad Overlap,2854,6,1341,5090,3745,5072
seq2_83-seq6_9,0.205204216,0.206597983,0.017802304,0.105935492,0.060052422,Bad Overlap,16287,7182,9051,1953,3,1888
seq2_87-seq5_38,0.205341551,0.203377613,0.019617186,0.101908461,0.05637102,Bad Overlap,6831,1,2000,4950,2905,4880
seq6_28-seq7_60,0.206003722,0.201416016,0.019648492,0.091189101,0.045993429,Bad Overlap,3946,0,2546,10899,8413,10888
seq1_71-seq7_78,0.208811652,0.210245029,0.018663102,0.101993398,0.055508882,Bad Overlap,5347,21,4623,21394,16713,21355
seq4_14-seq6_73,0.213055667,0.212740385,0.019239169,0.102321878,0.05444497,Bad Overlap,2203,2,2130,17181,7787,9911
seq5_86-seq7_13,0.21865299,0.217914077,0.019315268,0.100311443,0.051964336,Bad Overlap,12571,5165,6785,1645,3,1616
seq1_78-seq4_16,0.218984962,0.218984962,0.020427679,0.115771829,0.067832605,Bad Overlap,2536,1,1399,5253,3849,5247
seq1_79-seq6_75,0.219896995,0.221064965,0.01916486,0.106712535,0.057574833,Bad Overlap,3389,8,3381,18617,11958,15354
seq10_86-seq7_31,0.222097156,0.220897116,0.020219153,0.086687543,0.039049429,Bad Overlap,17219,345,4094,3854,6,3729
seq4_87-seq8_86,0.222222222,0.223120882,0.020075704,0.098369939,0.048696347,Bad Overlap,15031,17,7125,24186,16972,24117
origSeq_82-seq10_71,0.224349769,0.225585471,0.018438167,0.100992489,0.050982173,Bad Overlap,7084,57,2869,8352,5507,8339
seq5_90-seq6_52,0.225062448,0.225126967,0.020483519,0.101304673,0.051910257,Bad Overlap,21456,0,5406,8003,2564,7972
seq1_93-seq2_95,0.225444741,0.225522802,0.02050516,0.124576567,0.07490947,Bad Overlap,17969,3,8950,30676,21720,30671
seq3_40-seq8_51,0.226002766,0.225073855,0.019961315,0.107288666,0.0567476,Bad Overlap,5603,74,2525,7810,5316,7754
seq2_58-seq3_91,0.227247313,0.227391304,0.019174684,0.121553105,0.070868559,Bad Overlap,10609,3,3661,9158,5491,9152
origSeq_46-seq8_80,0.232639517,0.232593218,0.019914245,0.114739792,0.062621181,Bad Overlap,11082,14,3870,9400,5507,9362
seq10_92-seq4_53,0.233028503,0.231900528,0.021545872,0.09859252,0.047834985,Bad Overlap,10709,191,3682,7946,4463,7932
seq7_90-seq9_31,0.235606781,0.238164278,0.022155894,0.099158246,0.047554769,Bad Overlap,22962,5167,9378,4360,78,4349
seq5_58-seq8_88,0.237300214,0.236600774,0.021233644,0.099760485,0.048589315,Bad Overlap,2422,42,2373,13972,7443,9765
seq3_9-seq7_63,0.238003096,0.236377739,0.018487935,0.113283727,0.059927419,Bad Overlap,1276,30,1260,11823,3922,5141
seq2_98-seq5_48,0.23838149,0.239093484,0.021854405,0.12052193,0.067075144,Bad Overlap,42170,6938,15345,8480,35,8475
seq4_13-seq6_66,0.239912189,0.240864481,0.021450154,0.116052346,0.06200267,Bad Overlap,4998,6,2301,6899,4574,6881
origSeq_45-seq5_49,0.242075232,0.238777459,0.021347902,0.125056865,0.07141325,Bad Overlap,6084,6,2297,5642,3386,5636
seq10_90-seq8_88,0.243243243,0.242886753,0.021079838,0.093933555,0.041966738,Bad Overlap,12437,4,5170,13972,8805,13961
seq1_27-seq3_73,0.244288512,0.24699187,0.022912535,0.142164882,0.087941131,Bad Overlap,1504,1,1498,12570,4625,6144
seq4_89-seq6_33,0.245978062,0.242028852,0.023873035,0.117152326,0.06207001,Bad Overlap,21312,10372,13063,2658,0,2634
seq1_90-seq9_13,0.246551389,0.246404975,0.022821552,0.112171552,0.057211184,Bad Overlap,15832,5550,8088,2566,12,2548
