KEY	ERROR	SCORE	OVERLAP TYPE
seq10_85-seq7_24	No error	0.479696013	Bad Overlap
seq10_86-seq6_68	No error	0.488248449	Bad Overlap
seq10_86-seq7_31	No error	0.457144765	Bad Overlap
seq10_87-seq7_82	No error	0.47424381	Bad Overlap
seq10_90-seq8_88	No error	0.454243053	Bad Overlap
seq10_91-seq1_22	No error	0.528770177	Bad Overlap
seq10_92-seq4_53	No error	0.495135979	Bad Overlap
seq10_92-seq1_54	No error	0.528304438	Bad Overlap
seq10_93-seq7_62	No error	0.472056629	Bad Overlap
seq10_94-seq3_87	No error	0.508495459	Bad Overlap
seq10_94-seq2_79	No error	0.5216099	Bad Overlap
seq10_94-seq9_94	No error	0.473288408	Bad Overlap
seq10_94-seq2_26	No error	0.533661658	Bad Overlap
seq10_95-seq4_64	No error	0.492053444	Bad Overlap
seq10_95-seq6_41	No error	0.471869576	Bad Overlap
seq10_95-seq6_32	No error	0.47370024	Bad Overlap
seq10_96-seq1_64	No error	0.529264589	Bad Overlap
seq10_96-seq7_39	No error	0.479872564	Bad Overlap
seq10_96-seq5_14	No error	0.49244	Bad Overlap
seq6_5-seq7_90	No error	0.499475896	Bad Overlap
seq6_5-seq9_78	No error	0.504306262	Bad Overlap
seq6_17-seq8_85	No error	0.519879419	Bad Overlap
seq6_24-seq7_46	No error	0.512204535	Bad Overlap
seq6_28-seq7_60	No error	0.516245128	Bad Overlap
seq6_29-seq6_8	No error	0.633648754	Good Overlap
seq6_32-seq6_41	No error	0.693940167	Good Overlap
seq6_34-seq8_28	No error	0.512318179	Bad Overlap
seq6_35-seq7_17	No error	0.510500862	Bad Overlap
seq6_38-seq7_85	No error	0.502366875	Bad Overlap
seq6_41-seq6_62	No error	0.705972238	Good Overlap
seq6_43-seq9_53	No error	0.501604343	Bad Overlap
seq6_45-seq9_85	No error	0.483903077	Bad Overlap
seq6_46-seq6_52	No error	0.689319204	Good Overlap
seq6_50-seq6_91	No error	0.671974864	Good Overlap
seq6_53-seq6_75	No error	0.693395916	Good Overlap
seq6_55-seq7_94	No error	0.506078723	Bad Overlap
seq6_57-seq8_42	No error	0.504252622	Bad Overlap
seq6_59-seq8_92	No error	0.509894083	Bad Overlap
seq6_65-seq9_36	No error	0.494340489	Bad Overlap
seq6_67-seq7_85	No error	0.517058953	Bad Overlap
seq6_72-seq9_96	No error	0.484401577	Bad Overlap
seq6_73-seq7_41	No error	0.496309695	Bad Overlap
seq6_74-seq8_82	No error	0.509285605	Bad Overlap
seq6_74-seq7_38	No error	0.521594244	Bad Overlap
seq6_76-seq9_74	No error	0.513999254	Bad Overlap
seq6_78-seq7_51	No error	0.512968395	Bad Overlap
seq6_81-seq8_16	No error	0.502780346	Bad Overlap
seq6_81-seq7_15	No error	0.507498117	Bad Overlap
seq6_84-seq7_91	No error	0.508044628	Bad Overlap
seq6_84-seq9_98	No error	0.501370025	Bad Overlap
seq6_84-seq9_57	No error	0.500347275	Bad Overlap
seq6_85-seq8_69	No error	0.511429348	Bad Overlap
seq6_85-seq7_50	No error	0.505099712	Bad Overlap
